Name,Role,Institution
Thomas F. Stocker,Working Group I Co-Chair,University of Bern
Dahe Qin,Working Group I Co-Chair,China Meteorological Administration
,,
Gian-Kasper Plattner,Director of Science,Working Group I Technical Support Unit
Melinda M.B. Tignor,Director of Operations,Working Group I Technical Support Unit
Simon K. Allen,Senior Science Officer,Working Group I Technical Support Unit
Judith Boschung,Administrative Assistant,Working Group I Technical Support Unit
Alexander Nauels,Science Assistant,Working Group I Technical Support Unit
Yu Xia,Science Officer,Working Group I Technical Support Unit
Vincent Bex,IT Officer,Working Group I Technical Support Unit
Pauline M. Midgley,Head,Working Group I Technical Support Unit
