"Acronym","Institution"
"AERE","Atomic Energy Research Establishment, Harwell, UK"
"CCC","Canadian Climate Centre, Downsview, Ontario, Canada"
"CNRS","Centre National de Recherches Meteorologiques, France"
"CRU","Climatic Research Unit, University of East Anglia, UK"
"CSIRO ","Commonwealth Scientific & Industrial Research Organisation, Australia"
"EPA","Environmental Protection Agency, Washington, USA"
"GFDL","Geophysical Fluid Dynamics Laboratory, Princeton, USA"
"GISS","Goddard Institute of Space Sciences, New York, USA"
"ICSU","International Council of Scientific Unions"
"IPCC","Intergovernmental Panel on Climate Change"
"MGO","Main Geophysical Laboratory, Leningrad, USSR"
"MPI","Max Planck Institut, FRG"
"MRI","Meteorological Research Institute, Japan"
"NASA","National Aeronautics and Space Administration, USA"
"NATO","North Atlantic Treaty Organisation"
"NCAR","National Center for Atmospheric Research, Boulder, USA"
"NOAA","National Oceanic and Atmospheric Administration, USA"
"OSU","Oregon State University, USA"
"SCOPE","Scientific Committee On Problems of the Environment"
"UKDOE","Department of the Environment, UK"
"UKMO","Meteorological Office, Bracknell, UK"
"UNEP","United Nations Environment Programme"
"USDOE","Department of the Energy, USA"
"WMO","World Meteorological Organisation"
