"Role","Name (Country)"
"Edited by","OSVALDO F. CANZIANI (ARGENTINA) "
"Edited by","SANDRA DIAZ (ARGENTINA) "
,
"Lead Author","E. Calvo (Peru) "
"Lead Author","M. Campos (Costa Rica) "
"Lead Author","R. Carcavallo (Argentina) "
"Lead Author","C.C. Cerri (Brazil) "
"Lead Author","C. Gay-García (Mexico)"
"Lead Author","L.J. Mata (Venezuela) "
"Lead Author","A. Saizar (Uruguay) "
,
"Contributor","P. Aceituno (Chile) "
"Contributor","R. Andressen (Venezuela) "
"Contributor","V. Barros (Argentina) "
"Contributor","M. Cabido (Argentina) "
"Contributor","H. Fuenzalida-Ponce (Chile) "
"Contributor","G. Funes (Argentina) "
"Contributor","C. Galvao (Brazil) "
"Contributor","A.R. Moreno (Mexico) "
"Contributor","W.M. Vargas (Argentina) "
"Contributor","E.F. Viglizzo (Argentina) "
"Contributor","M. de Zuviría (Bolivia) "
