Role,Name (Country)
,BERNHARD SCHLAMADINGER (AUSTRIA)
,TIMO KARJALAINEN (FINLAND)
,
Lead Author,R. Birdsey (USA)
Lead Author,M. Cannell (UK)
Lead Author,W. Galinski (Poland)
Lead Author,A. Gintings (Indonesia)
Lead Author,S. Hamburg (USA) 
Lead Author,B. Jallow (The Gambia)
Lead Author,M. Kirschbaum (Australia)
Lead Author,T. Krug (Brazil)
Lead Author,W. Kurz (Canada)
Lead Author,S. Prisley (USA)
Lead Author,D. Schulze (Germany)
Lead Author,K.D. Singh (India)
Lead Author,T.P. Singh (India)
Lead Author,A.M. Solomon (USA)
Lead Author,L. Villers (Mexico)
Lead Author,Y. Yamagata (Japan)
,
Contributor,S. Beukema (Canada)
Contributor,G. Lund (USA)
Contributor,B. Murray (USA)
,
Review Editor,E. Calvo (Peru) 
Review Editor,J.D.G. Miguez (Brazil)
